slice,support,tp,fp,fn,wrong_class,precision,recall,f1
scene:empty,381,0,10,0,0,0.0,0.0,0.0
class:trafficLight-YellowLeft,6,0,0,4,2,0.0,0.0,0.0
class:trafficLight-Yellow,63,27,5,22,14,0.5869565217391305,0.42857142857142855,0.49541284403669733
class:trafficLight-GreenLeft,76,38,11,26,12,0.6229508196721312,0.5,0.5547445255474452
class:pedestrian,2205,1107,309,1076,22,0.7698191933240612,0.5020408163265306,0.6077408729069449
class:biker,388,199,34,180,9,0.8223140495867769,0.5128865979381443,0.6317460317460317
class:trafficLight-Green,1081,674,173,390,17,0.7800925925925926,0.6234967622571693,0.6930591259640104
class:truck,756,499,102,184,73,0.7403560830860534,0.66005291005291,0.6979020979020978
scene:size_small,969,4241,960,2266,124,0.7964319248826291,0.6395717086412306,0.709434593509535
scene:rare_tl,84,590,131,242,55,0.7603092783505154,0.6651634723788049,0.7095610342754057
class:trafficLight,410,291,58,70,49,0.7311557788944724,0.7097560975609756,0.7202970297029702
class:trafficLight-RedLeft,325,228,58,85,12,0.7651006711409396,0.7015384615384616,0.7319422150882825
class:trafficLight-Red,1278,864,140,366,48,0.8212927756653993,0.676056338028169,0.7416309012875537
scene:ped_biker,833,5513,1016,2504,154,0.8249289241358672,0.6747032187002815,0.742291638615861
scene:count_dense,893,7863,1378,3335,264,0.8272488164124145,0.6860059326470075,0.7500357704964945
scene:tl_state,844,6296,1176,2556,222,0.8182999740057187,0.6938505620454044,0.7509541984732824
scene:truck,533,3508,664,1186,168,0.808294930875576,0.7215137803373097,0.7624429471853945
scene:dense_car,1258,9374,1677,3543,247,0.8297043724553018,0.7120935885749012,0.7664132123293271
scene:count_medium,1310,5484,1126,1598,86,0.8189964157706093,0.7650669642857143,0.7911136757068667
scene:size_medium,1520,9219,1631,2708,216,0.8330923549611422,0.7592028329078482,0.7944331940195614
class:car,12628,9916,1758,2616,96,0.8424808836023789,0.7852391510928096,0.8128535125829986
scene:count_sparse,387,496,134,86,4,0.7823343848580442,0.8464163822525598,0.8131147540983606
scene:size_large,101,383,47,45,14,0.8626126126126126,0.8665158371040724,0.8645598194130926
