threshold,tp,fp,tn,fn,wrong_class,precision,recall,fpr,tpr,f1,accuracy,risk_uniform,risk_per_class
0.0,16509,140643,130,1904,803,0.10451710930328258,0.8591278101582015,0.9990817652709498,0.8591278101582015,0.18636232792048357,0.10400090006187926,154981.0,156282
0.02,15714,24352,309,2880,622,0.3862072355485647,0.8177560366361366,0.9877783490883202,0.8177560366361366,0.524639423076923,0.3651799348177861,42484.0,44532
0.04,15404,14689,332,3253,559,0.5025446952890513,0.801623646960866,0.9786906290115532,0.801623646960866,0.6177909681559317,0.45961970967082394,34308.0,36765
0.06,15156,10698,343,3538,522,0.5746132848043676,0.7887177352206495,0.970336417884632,0.7887177352206495,0.6648534830672048,0.5122451003073669,31520.0,34228
0.08,15000,8449,349,3717,499,0.6263571070653081,0.7805995004163198,0.9624610089276111,0.7805995004163198,0.6950236308034474,0.5479046191190119,30028.0,32895
0.1,14846,6918,359,3893,477,0.6675059574659413,0.7725853455453788,0.9537013154500903,0.7725853455453788,0.7162119786767012,0.5739251877854528,29245.0,32230
0.12,14702,5846,363,4059,455,0.699995238775413,0.7650915903413822,0.9455282112845138,0.7650915903413822,0.7310972425967828,0.592527040314651,28871.0,31946
0.14,14552,5000,366,4234,430,0.7282554298868982,0.757285595337219,0.9368530020703933,0.757285595337219,0.7424868615745702,0.6068668131152876,28750.0,31982
0.16,14394,4344,366,4400,422,0.7512526096033403,0.7490632805995004,0.9286827747466875,0.7490632805995004,0.7501563477173233,0.6169021148541336,28876.0,32319
0.18,14260,3868,366,4548,408,0.7693137678031938,0.742089925062448,0.9211546747091771,0.742089925062448,0.7554566645475737,0.6237100213219616,29056.0,32642
0.2,14140,3454,368,4683,393,0.7861233112803692,0.7358451290591174,0.9126927639383156,0.7358451290591174,0.7601537510415828,0.6297421651184999,29227.0,32966
0.22,14024,3090,369,4814,378,0.8017379373427853,0.7298084929225646,0.9038311180609852,0.7298084929225646,0.7640841233518579,0.6347519294377068,29428.0,33313
0.24,13894,2790,371,4963,359,0.8152320600833186,0.7230432972522898,0.8946022727272728,0.7230432972522898,0.7663752447668165,0.6374849175492694,29759.0,33768
0.26,13778,2536,371,5091,347,0.8269611667967108,0.7170066611157369,0.8859864781807006,0.7170066611157369,0.7680686790980293,0.6395606382497853,30073.0,34266
0.28,13654,2286,371,5231,331,0.8391616987277979,0.7105537052456287,0.8758366800535475,0.7105537052456287,0.7695212331276242,0.6412014812782884,30427.0,34749
0.3,13530,2051,371,5372,314,0.8512110726643599,0.7041007493755204,0.8644005847953217,0.7041007493755204,0.770698641451397,0.642434605786117,30795.0,35288
0.32,13376,1838,372,5540,300,0.8621889905891453,0.6960865945045795,0.851792828685259,0.6960865945045795,0.7702850561474229,0.6416503313730981,31338.0,35972
0.34,13221,1689,372,5709,286,0.8700315872598052,0.6880203996669442,0.8414997869620793,0.6880203996669442,0.7683947460188305,0.6388588616816281,31950.0,36708
0.36,13045,1528,373,5893,278,0.8783920274728975,0.6788613655287261,0.8288205598898577,0.6788613655287261,0.7658437784366102,0.6354122271155941,32661.0,37535
0.38,12857,1382,373,6104,255,0.8870567131226714,0.6690778517901749,0.8144278606965174,0.6690778517901749,0.7628003559774548,0.6308712030899815,33432.0,38418
0.4,12653,1256,373,6327,236,0.8945210321668434,0.6584616985845129,0.8,0.6584616985845129,0.7585504031653726,0.6248980570880307,34307.0,39505
0.42,12461,1138,374,6522,233,0.9008820127241179,0.648470024979184,0.78567335243553,0.648470024979184,0.7541152263374484,0.6192107294480895,35146.0,40479
0.44,12220,1034,375,6774,222,0.9067972692193529,0.6359283930058285,0.7700797057020233,0.6359283930058285,0.7475835066682981,0.6106666666666667,36236.0,41782
0.46,11976,927,375,7033,207,0.9135011441647597,0.6232306411323897,0.7514910536779325,0.6232306411323897,0.7409515560230155,0.6019592552880397,37334.0,43193
0.48,11731,847,375,7289,196,0.9183497729763582,0.6104808492922564,0.735543018335684,0.6104808492922564,0.7334166927164739,0.5923280164399648,38468.0,44501
0.5,11418,775,376,7621,177,0.9230396119644301,0.5941923397169026,0.7168674698795181,0.5941923397169026,0.722978534793896,0.5790739922423528,39942.0,46037
0.52,11062,702,376,7989,165,0.9273199765277894,0.5756661115736886,0.6975060337892196,0.5756661115736886,0.7103547921014609,0.5636148615354292,41637.0,47921
0.54,10721,632,376,8347,148,0.9321798104512651,0.5579204829308909,0.6747404844290658,0.5579204829308909,0.6980499397727642,0.5487045094936709,43255.0,49632
0.56,10325,539,377,8764,127,0.9394049677008461,0.5373126561199001,0.638542665388303,0.5373126561199001,0.6836163803091999,0.5315914961255712,45121.0,51564
0.58,9911,475,377,9192,113,0.9439946661586818,0.5157681099084097,0.6093264248704663,0.5157681099084097,0.6670705031129059,0.5126569663145306,47113.0,53724
0.6,9531,406,377,9581,104,0.9492082461906185,0.49599292256452954,0.5749718151071026,0.49599292256452954,0.6515363844550022,0.49542477123856193,48935.0,55619
