epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.164,1.63063,1.54811,1.20556,0.48012,0.25324,0.24081,0.11418,1.64282,1.36325,1.20627,0.000332311,0.000332311,0.0671012
2,416.043,1.56601,1.12269,1.17034,0.65477,0.32079,0.32588,0.15472,1.61639,1.30537,1.18151,0.000663839,0.000663839,0.0340994
3,619.593,1.55642,1.06653,1.16758,0.53978,0.30478,0.29732,0.13524,1.6819,1.33889,1.27086,0.000988172,0.000988172,0.00109042
4,832.079,1.53179,1.02867,1.16099,0.56343,0.38075,0.39606,0.19407,1.61917,1.08249,1.21872,0.000975773,0.000975773,0.000975773
5,1047,1.5063,0.9831,1.15203,0.53967,0.37933,0.414,0.20537,1.5565,0.99587,1.18327,0.000957205,0.000957205,0.000957205
6,1260.96,1.48752,0.9552,1.13532,0.64995,0.4339,0.44708,0.22411,1.53918,0.97011,1.1794,0.000933683,0.000933683,0.000933683
7,1473.3,1.47245,0.93581,1.13608,0.66967,0.43331,0.47252,0.23767,1.5283,0.95278,1.16841,0.000905463,0.000905463,0.000905463
8,1685.9,1.45665,0.91515,1.12719,0.73168,0.46384,0.50992,0.26341,1.49217,0.8995,1.15798,0.000872857,0.000872857,0.000872857
9,1899.69,1.44274,0.90167,1.11832,0.63794,0.46438,0.52315,0.26763,1.48704,0.92511,1.15501,0.00083622,0.00083622,0.00083622
10,2109.04,1.43262,0.87936,1.11467,0.71377,0.49128,0.5327,0.27575,1.50311,0.87956,1.15851,0.000795954,0.000795954,0.000795954
11,2320.82,1.41093,0.86693,1.10889,0.76013,0.50344,0.56443,0.29789,1.4433,0.84115,1.1267,0.0007525,0.0007525,0.0007525
12,2534.19,1.4085,0.85585,1.10482,0.73544,0.5081,0.56584,0.29972,1.43828,0.84088,1.12924,0.000706335,0.000706335,0.000706335
13,2747.47,1.39227,0.84064,1.0984,0.77126,0.50565,0.60126,0.31467,1.42026,0.81255,1.11743,0.000657963,0.000657963,0.000657963
14,2959.06,1.38503,0.82963,1.09139,0.78949,0.51458,0.59438,0.31679,1.41933,0.79618,1.1158,0.000607916,0.000607916,0.000607916
15,3169.66,1.37408,0.81658,1.08592,0.77225,0.53978,0.621,0.33237,1.39979,0.78977,1.10645,0.000556742,0.000556742,0.000556742
16,3377.55,1.37024,0.81091,1.0809,0.77843,0.54538,0.63523,0.33705,1.3878,0.77936,1.09806,0.000505,0.000505,0.000505
17,3579.75,1.35496,0.79318,1.07638,0.79145,0.53043,0.64657,0.34576,1.39111,0.7641,1.1023,0.000453258,0.000453258,0.000453258
18,3780.99,1.34239,0.78234,1.07329,0.79712,0.55901,0.65071,0.34831,1.36941,0.74293,1.0898,0.000402084,0.000402084,0.000402084
